decade,rows,firms,has_name_pct,has_source_currency_pct,non_us_currency_pct,sales_nonmissing_pct,margin_ready_pct,allocation_ready_pct
1970s,32756,6027,0.1,0.0,0.0,93.4,25.6,7.1
1980s,139593,11282,0.1,0.0,0.0,94.6,22.1,6.7
1990s,185671,13752,27.5,1.5,1.4,95.3,26.6,5.9
2000s,163364,10429,100.0,12.3,12.1,96.7,26.1,20.1
2010s,154073,8093,100.0,14.5,14.3,91.4,19.5,16.7
2020s,81745,5800,100.0,13.8,13.7,91.8,16.3,13.8
