result_id,design,shock,mechanism_group,sample,opportunity,post_lag,control,status,coef,se,t,p,nobs,firms_in_estimation,treated_firms_in_stack,control_firms_in_stack
modern_electricity,exploratory_national_break,CME_POWER_EXPANSION_2012,input_manufacturing_very_high,pre_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0077602767154875,0.0313685451864011,0.2473903928082626,0.8046075850564416,45600.0,2715.0,37.0,2678.0
modern_electricity,exploratory_national_break,CME_POWER_EXPANSION_2012,input_manufacturing_very_high,pre_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,-0.0040480358309003,0.0347455041933893,-0.1165053126979959,0.907252755969455,45600.0,2715.0,37.0,2678.0
modern_electricity,exploratory_national_break,CME_POWER_EXPANSION_2012,output_producer,all_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,-0.0159820632790582,0.0132120986353113,-1.2096536455112237,0.226419836764566,48017.0,3120.0,237.0,2883.0
modern_electricity,exploratory_national_break,CME_POWER_EXPANSION_2012,output_producer,all_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0045250458479856,0.0077844404010333,0.5812936595140428,0.5610462243043,48017.0,3120.0,237.0,2883.0
modern_electricity,exploratory_national_break,CME_POWER_EXPANSION_2012,output_producer,pre_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,-0.0162583303057105,0.0137280364534659,-1.1843157876817685,0.2362962644937385,45600.0,2715.0,214.0,2501.0
modern_electricity,exploratory_national_break,CME_POWER_EXPANSION_2012,output_producer,pre_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0042902164437665,0.0083220203762172,0.515525827841898,0.6061889391394621,45600.0,2715.0,214.0,2501.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_industrial_high,all_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0360064681920932,0.0290681345522603,1.238692084879365,0.2154669644743414,53835.0,3652.0,262.0,3390.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_industrial_high,all_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,-0.0074576679297824,0.0108880361870488,-0.6849415084286057,0.49338487933775,53835.0,3652.0,262.0,3390.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_industrial_high,pre_multiseg,l_margin,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0279915484091401,0.0304794352989902,0.9183749021120304,0.3584284515436722,51417.0,3208.0,232.0,2976.0
modern_electricity,exploratory_national_break,NODAL_EXCHANGE_2009,input_industrial_high,pre_multiseg,sgrow,0,all_other_multiseg_firms_not_same_mechanism,ok,0.0005832734109701,0.0106920451424174,0.0545520901942544,0.9564955949977024,51417.0,3208.0,232.0,2976.0
