stype,rows,firms,firm_years,min_year,max_year,unique_segment_names
GEOSEG,757202,26300,307470,1976,2026,3990
BUSSEG,674184,29843,352429,1976,2026,64614
OPSEG,79700,1544,13650,1996,2026,10187
STSEG,2331,73,432,1997,2025,295
