status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,pseudo_year,span,check
ok,-0.00871775215087667,0.001979107863141309,-4.404889856300984,1.061747833475124e-05,38841,6256,0.9793383494905926,-0.3590236144663452,-0.3590236144663452,NATGAS_1990,pre_energy_share_z,hhi,1986,3,pre_only_placebo
ok,-0.005556012231792726,0.0019579249288960354,-2.8377044235937334,0.004546864509564985,36983,5881,0.9872253955183067,-0.3739673323743047,-0.3739673323743047,NATGAS_1990,pre_energy_share_z,hhi,1985,3,pre_only_placebo
ok,-0.0030153117260051892,0.0018423966788239216,-1.6366245991769743,0.10171920193348827,36485,5834,1.0090199342759159,-0.3708869163606734,-0.3708869163606734,NATGAS_1990,pre_energy_share_z,hhi,1984,3,pre_only_placebo
ok,-0.06715929203913112,0.015501827045574686,-4.3323468802539065,1.478428037882118e-05,54663,8990,0.2578971767076171,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,1997,3,pre_only_placebo
ok,-0.03836802462588116,0.012896812073281728,-2.975000675195387,0.00293142852459094,54046,8871,0.26479720064497064,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,1996,3,pre_only_placebo
ok,-0.00753271227230834,0.011849500022955463,-0.6356987432141087,0.5249762472642003,50132,7976,0.276465724377309,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,1995,3,pre_only_placebo
ok,-0.012129623536640814,0.002092552564712194,-5.796568144183801,6.82617540270769e-09,41931,6682,0.9949702736642051,-0.3286153833677542,-0.3286153833677542,FERC636_1992,pre_energy_share_z,hhi,1988,3,pre_only_placebo
ok,-0.010426304431858524,0.0020045190943885852,-5.201399408489414,1.989279831970947e-07,40979,6661,0.9747948966193181,-0.3445579689023558,-0.3445579689023558,FERC636_1992,pre_energy_share_z,hhi,1987,3,pre_only_placebo
ok,-0.00871775215087667,0.001979107863141309,-4.404889856300984,1.061747833475124e-05,38841,6256,0.9793383494905926,-0.3590236144663452,-0.3590236144663452,FERC636_1992,pre_energy_share_z,hhi,1986,3,pre_only_placebo
ok,-0.009671818596240304,0.004033450721351029,-2.397901763133645,0.0164932759433829,54663,8990,1.0077268907019075,-0.25998044467891906,-0.25998044467891906,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,1997,3,pre_only_placebo
ok,-0.0027020094520453473,0.003247580061207036,-0.8320070332742112,0.40540937341641725,54046,8871,1.0081049516375715,-0.2674473050005895,-0.2674473050005895,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,1996,3,pre_only_placebo
ok,0.003818205113838562,0.0030690723833500565,1.244090929413267,0.2134730177940627,50132,7976,1.0138642231014998,-0.2785938908318428,-0.2785938908318428,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,1995,3,pre_only_placebo
ok,-0.025538602303536367,0.012631717790066232,-2.0217837928282645,0.043205065057818626,49714,7996,0.24527019968904254,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,2001,3,pre_only_placebo
ok,-0.027621238836963078,0.013333274473900264,-2.0716020577714307,0.03830856257022397,50991,8313,0.24433168637616112,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,2000,3,pre_only_placebo
ok,-0.027822943091360446,0.014627308259929264,-1.9021232476230725,0.05716160066896214,52362,8577,0.24394954353757212,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,1999,3,pre_only_placebo
ok,0.0016259185200981838,0.0026384933090392824,0.6162299197530301,0.5377475603096096,34817,5440,1.0299401796791898,-0.293851425507208,-0.293851425507208,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,1982,3,pre_only_placebo
ok,0.0001194159616243496,0.002683504452255392,0.04450000503035672,0.9645061492030274,34909,5404,1.0309536889580846,-0.2702027708725801,-0.2702027708725801,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,1981,3,pre_only_placebo
ok,2.4071756601495533e-05,0.002727852171873225,0.008824435887581613,0.9929592715792015,34085,5385,1.0174093696486533,-0.24314892698966456,-0.24314892698966456,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,1980,3,pre_only_placebo
ok,0.012366100221903261,0.0025859323812994282,4.782066349194061,1.7425589766695282e-06,39029,6270,0.9783792252089721,-0.3590236144663452,-0.3590236144663452,NATGAS_1990,pre_energy_share_z,log_nseg,1986,3,pre_only_placebo
ok,0.010486555128000459,0.0026381083303030576,3.9750282456353094,7.052918763661431e-05,37113,5890,0.986572912948364,-0.3739673323743047,-0.3739673323743047,NATGAS_1990,pre_energy_share_z,log_nseg,1985,3,pre_only_placebo
ok,0.008772389635307616,0.002644980596344277,3.3166177655262397,0.0009121981272899315,36577,5843,1.0083509967999047,-0.3708869163606734,-0.3708869163606734,NATGAS_1990,pre_energy_share_z,log_nseg,1984,3,pre_only_placebo
ok,0.006449097225481323,0.00921414784107478,0.6999124972504317,0.4839874962552124,34817,5440,1.0299401796791898,-0.293851425507208,-0.293851425507208,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,1982,3,pre_only_placebo
ok,0.0028154540653124844,0.009628088534917294,0.2924208741020545,0.7699669069230324,34909,5404,1.0309536889580846,-0.2702027708725801,-0.2702027708725801,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,1981,3,pre_only_placebo
ok,0.0023718142307164324,0.009530213349771628,0.2488731514886042,0.8034606853851773,34085,5385,1.0174093696486533,-0.24314892698966456,-0.24314892698966456,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,1980,3,pre_only_placebo
ok,0.037948628013056505,0.008124897630210067,4.670659218148863,3.014255239852659e-06,39029,6270,0.9783792252089721,-0.3590236144663452,-0.3590236144663452,NATGAS_1990,pre_energy_share_z,n_op_seg,1986,3,pre_only_placebo
ok,0.03294884405022717,0.00820135586376458,4.017487424951588,5.895971393532484e-05,37113,5890,0.986572912948364,-0.3739673323743047,-0.3739673323743047,NATGAS_1990,pre_energy_share_z,n_op_seg,1985,3,pre_only_placebo
ok,0.028536759059231726,0.008342583774621897,3.4206140244033776,0.0006256117185710064,36577,5843,1.0083509967999047,-0.3708869163606734,-0.3708869163606734,NATGAS_1990,pre_energy_share_z,n_op_seg,1984,3,pre_only_placebo
ok,0.022449508164470736,0.007343541493082419,3.0570411000765865,0.0022369948554910035,42292,6726,0.9920569006550987,-0.3286153833677542,-0.3286153833677542,FERC636_1992,pre_energy_share_z,n_op_seg,1988,3,pre_only_placebo
ok,0.030347333985638807,0.007787291074719281,3.8970334734447794,9.756171312580442e-05,41253,6688,0.9731888417745481,-0.3445579689023558,-0.3445579689023558,FERC636_1992,pre_energy_share_z,n_op_seg,1987,3,pre_only_placebo
ok,0.037948628013056505,0.008124897630210067,4.670659218148863,3.014255239852659e-06,39029,6270,0.9783792252089721,-0.3590236144663452,-0.3590236144663452,FERC636_1992,pre_energy_share_z,n_op_seg,1986,3,pre_only_placebo
ok,-0.00012142791334705421,0.0020275540773234423,-0.05988886545869603,0.952244556303518,34758,5435,1.0303697440303543,-0.293851425507208,-0.293851425507208,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,1982,3,pre_only_placebo
ok,-0.0017941031289013785,0.0020911611624542144,-0.8579458920305288,0.39092932279737846,34864,5401,1.031217620971409,-0.2702027708725801,-0.2702027708725801,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,1981,3,pre_only_placebo
ok,-0.0020103098399084697,0.0019923737710668245,-1.0090023614555221,0.31298202153948695,34045,5381,1.0177641451483685,-0.24314892698966456,-0.24314892698966456,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,1980,3,pre_only_placebo
ok,-0.04999008956623409,0.013390234080033031,-3.733324545892537,0.00018921985393149932,49714,7996,0.24527019968904254,0.0,0.0,EU_ETS_2005,pre_energy_any,multi_seg,2001,3,pre_only_placebo
ok,-0.07437310444678266,0.014832396682004903,-5.014233777674938,5.345822102764686e-07,50991,8313,0.24433168637616112,0.0,0.0,EU_ETS_2005,pre_energy_any,multi_seg,2000,3,pre_only_placebo
ok,-0.09666344156447161,0.017985465576004743,-5.374530959789824,7.71739769866997e-08,52362,8577,0.24394954353757212,0.0,0.0,EU_ETS_2005,pre_energy_any,multi_seg,1999,3,pre_only_placebo
