model,shock,family,design,treatment,outcome,opp,n_specs,n_p05,n_p10,share_p05,share_p10,median_beta,median_t,median_abs_t,min_p,max_p,modal_sign,sign_consistency,min_treated_firms,min_control_firms,median_nobs,robust_score,robust_candidate
firm_did,WTI_1983,oil,national,pre_oilgas_share_z,log_nseg,,3,2,3,0.6666666666666666,1.0,0.0066363196456957155,2.2614562385477037,2.2614562385477037,0.0024793482857086158,0.06280463138501124,1.0,1.0,5685,0,52538,9.130728119273853,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_share_z,log_nseg,,3,2,3,0.6666666666666666,1.0,-0.007457718509684145,-2.2563469988405216,2.2563469988405216,0.02149567327930124,0.05250239940267987,-1.0,1.0,7996,0,72297,9.12817349942026,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_high25,multi_seg,,3,2,2,0.6666666666666666,0.6666666666666666,-0.028860518750537634,-3.211848490153426,3.211848490153426,0.00013816855027171115,0.28395425310159306,-1.0,1.0,1554,6422,71654,8.605924245076713,False
firm_did,EU_ETS_2005,carbon,national,pre_electric_any,hhi,,3,2,2,0.6666666666666666,0.6666666666666666,0.023670145413526838,2.61871913541944,2.61871913541944,0.00634188708989214,0.13311173461039316,1.0,1.0,302,7148,67070,8.30935956770972,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_any,n_op_seg,,3,2,2,0.6666666666666666,0.6666666666666666,-0.06287064005495448,-2.6033178266312156,2.6033178266312156,0.0004775911204244476,0.29757873862907447,-1.0,1.0,1674,6224,71654,8.301658913315608,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_energy_any,multi_seg,,3,2,2,0.6666666666666666,0.6666666666666666,-0.031145575196383418,-2.3463283803697093,2.3463283803697093,0.00032871406952539317,0.5249762472642003,-1.0,1.0,665,7296,71654,8.173164190184854,False
firm_did,FERC636_1992,gas,national,pre_energy_share_z,multi_seg,,3,2,2,0.6666666666666666,0.6666666666666666,0.007987783484640293,2.340748130721306,2.340748130721306,0.014439900490635704,0.25116524632234283,1.0,1.0,6866,0,65368,8.170374065360653,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_high25,log_nseg,,3,2,2,0.6666666666666666,0.6666666666666666,-0.01662480970536815,-2.331307724101408,2.331307724101408,0.001530224908467659,0.16918045513729152,-1.0,1.0,1445,6091,68070,8.165653862050704,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_share_z,multi_seg,,3,2,2,0.6666666666666666,0.6666666666666666,-0.0074694379171102625,-2.220564409414509,2.220564409414509,0.0009192023955431061,0.2732778663155522,-1.0,1.0,7536,0,68070,8.110282204707254,False
firm_did,EU_ETS_2005,carbon,national,pre_electric_any,multi_seg,,3,2,2,0.6666666666666666,0.6666666666666666,-0.03827289055902711,-2.2204761132604403,2.2204761132604403,0.0056629404893118185,0.13473013446308402,-1.0,1.0,302,7234,68070,8.11023805663022,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_energy_any,multi_seg,,3,2,2,0.6666666666666666,0.6666666666666666,0.02648842276071333,2.1440920488924853,2.1440920488924853,0.02389432702095662,0.11041971958490815,1.0,1.0,798,5454,56539,8.072046024446243,False
rsz,SO2_ALLOWANCE_1995,carbon,national,carbon_segment,rel_inv,l_margin,6,1,4,0.16666666666666666,0.6666666666666666,0.02204071529780635,1.7515011394674203,1.7515011394674203,0.02897036977684153,0.17399279364475495,1.0,1.0,734,1853,41226,7.87575056973371,False
rsz,WTI_1983,oil,national,oilgas_segment,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,-0.03563321445357304,-1.534261354029643,1.534261354029643,0.03258182741884097,0.20063618985549958,-1.0,1.0,401,2589,54023,7.767130677014822,False
firm_did,RGGI_2009,carbon,regional,pre_electric_any,hhi,,3,2,2,0.6666666666666666,0.6666666666666666,0.10073729475871418,2.0403072822948025,2.0403072822948025,7.356080189424574e-10,0.48027565569369646,1.0,0.6666666666666666,2,342,3738,7.686820307814068,False
rsz,FERC636_1992,gas,national,pre_energy_share_z,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,-0.005902214507235465,-1.3139547492378436,1.3139547492378436,0.03281201739593609,0.31458114586747854,-1.0,1.0,1992,0,41970,7.656977374618922,False
rsz,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_any,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,0.013831641026141567,1.0431456296001531,1.0431456296001531,0.005641965697261719,0.9553257883405077,1.0,1.0,724,1343,41226,7.521572814800076,False
rsz,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_high25,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,0.012620641666098137,0.9824216382512996,0.9824216382512996,0.022747619528697305,0.4316449444344874,1.0,1.0,593,1474,41226,7.49121081912565,False
rsz,GAS_SPIKE_2001,gas,national,gas_segment,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,-0.014854611207778881,-1.043980039598825,1.043980039598825,0.04568733412147852,0.9700892778259376,-1.0,0.8333333333333334,119,3359,54099,7.3553233531327455,False
rsz,CA_CARBON_2013,carbon,regional,pre_carbon_any,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,0.015997579304096288,0.30604602396076086,0.7364709616421801,0.005979588891170229,0.7816585997676317,1.0,0.6666666666666666,23,2197,45314,7.034902147487757,False
rsz,CA_CARBON_2013,carbon,regional,pre_carbon_high25,rel_inv,l_margin,6,2,2,0.3333333333333333,0.3333333333333333,0.016369139630161365,0.309954673671825,0.6367023745517684,0.005289936159010411,0.7787465453609117,1.0,0.6666666666666666,17,2203,45314,6.985017853942551,False
firm_did,FERC636_1992,gas,national,pre_oilgas_any,n_op_seg,,3,1,2,0.3333333333333333,0.6666666666666666,-0.07128383330130197,-1.9248215938581317,1.9248215938581317,0.002999295811540348,0.22947211171230064,-1.0,1.0,471,6359,65368,5.962410796929066,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_high25,n_op_seg,,3,1,2,0.3333333333333333,0.6666666666666666,-0.05370807497374691,-1.8747311672602405,1.8747311672602405,0.011919299219868229,0.3410328677694172,-1.0,1.0,1445,6091,68070,5.93736558363012,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_oilgas_any,n_op_seg,,3,1,2,0.3333333333333333,0.6666666666666666,-0.07800178159753636,-1.8557967958911583,1.8557967958911583,0.029414889312700865,0.14707100328618927,-1.0,1.0,611,5637,56539,5.9278983979455795,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_high25,log_nseg,,3,1,2,0.3333333333333333,0.6666666666666666,-0.01217555238839168,-1.8268326212087451,1.8268326212087451,0.029259333359498374,0.6991950736538959,-1.0,1.0,1554,6422,71654,5.913416310604372,False
firm_did,FERC636_1992,gas,national,pre_oilgas_any,log_nseg,,3,1,2,0.3333333333333333,0.6666666666666666,-0.018138484253444373,-1.7662879288636308,1.7662879288636308,0.0020577301427686656,0.18410824528779068,-1.0,1.0,471,6359,65368,5.883143964431816,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_share_z,multi_seg,,3,1,2,0.3333333333333333,0.6666666666666666,-0.006222376742742155,-1.7461076483954203,1.7461076483954203,0.011834057244702212,0.9167757378442145,-1.0,1.0,7976,0,71654,5.87305382419771,False
firm_did,FERC636_1992,gas,national,pre_energy_any,hhi,,3,1,2,0.3333333333333333,0.6666666666666666,-0.011081030129575306,-1.7246364067070046,1.7246364067070046,0.0441184266534973,0.3007926618930028,-1.0,1.0,675,6132,64771,5.862318203353502,False
