model,shock,family,design,event_year,span,window_start,window_end,sample,outcome,opp,treatment,treatment_col,treatment_scope,note,status,beta,se,t,p,nobs,firms,treated_firms,control_firms,rows
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.0033701191569083457,0.02196879819991582,0.1534048028590503,0.8780797975495385,55874.0,3633.0,446.0,3187.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.01296144562777237,0.013151689581476136,-0.9855346377721902,0.324367226207654,55874.0,3633.0,446.0,3187.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.00025077513898685134,0.022579576467654166,0.011106281791693182,0.9911387068604118,52172.0,2945.0,428.0,2517.0,52172.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.013994079852953093,0.013165109791815134,-1.0629671969506351,0.28780325255689476,52172.0,2945.0,428.0,2517.0,52172.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.005899363995935581,0.020843578025883814,0.28303029300486116,0.7771548039235876,64980.0,3915.0,456.0,3459.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.012693140117428977,0.012056007328476587,-1.0528477439995798,0.2924159394313215,64980.0,3915.0,456.0,3459.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.0010537848536091897,0.021716071241537502,0.04852557545462268,0.961297594466602,58657.0,2975.0,430.0,2545.0,58657.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.013147700162739221,0.012036308024448968,-1.0923366314681144,0.27469092953592344,58657.0,2975.0,430.0,2545.0,58657.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,all_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.00656585583484849,0.010427763208355376,-0.6296514126430791,0.5289281722082562,37140.0,3052.0,2842.0,210.0,37140.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,all_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.005032308098342216,0.007796364010762658,-0.6454685916916217,0.5186292218762123,37140.0,3052.0,2842.0,210.0,37140.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,pre_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.007375433131397821,0.010492619823732105,-0.702916264507758,0.48211434342926496,35466.0,2641.0,2641.0,0.0,35466.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,pre_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.0049487447271052525,0.008143241653907144,-0.6077118839683253,0.5433839847770354,35466.0,2641.0,2641.0,0.0,35466.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.004885120195868338,0.008659834385493576,-0.5641124273752385,0.5726806453579609,55874.0,3633.0,3208.0,425.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.002907310152224559,0.006385797904559661,-0.4552775073180202,0.6489119688569918,55874.0,3633.0,3208.0,425.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.006785229502478347,0.00879182314319055,-0.7717659229455325,0.4402576430001721,52172.0,2945.0,2945.0,0.0,52172.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.002486974941229381,0.006759774430917006,-0.3679079777950531,0.7129438004887527,52172.0,2945.0,2945.0,0.0,52172.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.006526821950828091,0.0083876603674982,-0.778145712255974,0.4364868512021376,64980.0,3915.0,3294.0,621.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.00332246744922518,0.0055986107098272425,-0.5934449850912571,0.5528861133497738,64980.0,3915.0,3294.0,621.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.009480511414437495,0.00859560530288403,-1.1029486674145634,0.2700552721667795,58657.0,2975.0,2975.0,0.0,58657.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.002818984299376154,0.005842527003442703,-0.4824940129014501,0.6294573640206169,58657.0,2975.0,2975.0,0.0,58657.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,all_multiseg,rel_inv,l_margin,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.022491424740333273,0.02549345583463009,-0.8822430699952855,0.3776534746339748,37140.0,3052.0,489.0,2563.0,37140.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,all_multiseg,rel_inv,sgrow,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.021855479075116296,0.015991778471230907,-1.366669699335452,0.17174059448985157,37140.0,3052.0,489.0,2563.0,37140.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,pre_multiseg,rel_inv,l_margin,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.02413454447507095,0.025621576514372146,-0.9419617275124713,0.346221147255211,35466.0,2641.0,461.0,2180.0,35466.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,pre_multiseg,rel_inv,sgrow,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.02354959518206511,0.016077106547743168,-1.4647906395427164,0.14299035932249748,35466.0,2641.0,461.0,2180.0,35466.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,l_margin,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.005139793294336497,0.021364944567245015,-0.24057133769569464,0.8098885459652472,55874.0,3633.0,535.0,3098.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,sgrow,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.015567961991169511,0.012668478716946756,-1.2288738323682138,0.21912602683678228,55874.0,3633.0,535.0,3098.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,l_margin,pre_energy_any,share_energy,firm_pre_binary,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.009881116581883688,0.02193601934372679,-0.45045167161148886,0.6523872384829921,52172.0,2945.0,501.0,2444.0,52172.0
