status,beta,se,t,p,trend_beta,trend_t,nobs,firms,model,shock,treatment,outcome,opp,span
ok,0.0011322584747053249,0.003068841025861775,0.36895312111756273,0.7121645401087933,-0.003201073363211281,-2.864331376733596,49714,7996,firm_did_trend,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,,3
ok,0.0006286732034214277,0.003259666688025377,0.19286425993519657,0.8470658855314324,-0.00344818610355466,-3.997165483715463,72297,8034,firm_did_trend,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,,5
ok,-0.0018751463198378264,0.003380871348577322,-0.5546340355798786,0.5791464969957629,-0.002784620896817371,-4.053889481953881,91148,8053,firm_did_trend,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,,7
ok,-0.008103112312534626,0.002844843082003034,-2.8483512372954087,0.00439739094518754,-0.0004311859512523626,-0.48179864922242455,38841,6256,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,,3
ok,-0.007156406287096583,0.00276037289237588,-2.592550559695214,0.009529492062354317,-0.00038439098802365695,-0.6154656913133965,56237,6260,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,,5
ok,-0.0077167009352020624,0.0025027804551194196,-3.083251237405824,0.002048375493231447,-0.00010630391468565362,-0.2218806258607579,71591,6264,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,hhi,,7
ok,0.0036772269805278594,0.0025593660449501647,1.4367725897525774,0.15079217425838443,0.0020632203173325844,2.2971780930147303,39029,6270,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,,3
ok,0.0045560723398508605,0.0027016563596585137,1.6863996501859855,0.09172505642216011,0.0016926264461148653,2.555632365161919,56539,6275,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,,5
ok,0.007067408486739137,0.002782283792130094,2.5401465180258933,0.011082886568787309,0.0010016203894815392,1.8074373622189102,71983,6277,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,,7
ok,0.016819597447810204,0.007130965694251509,2.358670363730539,0.018346379475329577,0.004798757785118674,1.7348039051280792,39029,6270,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,,3
ok,0.018973020752559574,0.007536127219805664,2.5176088724586094,0.01181852786096882,0.003828667561800444,1.8478586406210455,56539,6275,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,,5
ok,0.025530388104782017,0.007931597448570964,3.2188204545582213,0.0012878153439246365,0.0021407090059638078,1.188434266611147,71983,6277,firm_did_trend,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,,7
ok,-0.022277011141007653,0.024095430075296312,-0.9245326218039586,0.3552206574406229,-0.005901800153178015,-1.0015453324375703,26256,1992,rsz_trend,FERC636_1992,pre_energy_any,rel_inv,l_margin,3
ok,-0.04685387441269899,0.02186611866943298,-2.1427613707318263,0.03214014241738972,0.0040358668407984785,0.9926819408075122,39933,2399,rsz_trend,FERC636_1992,pre_energy_any,rel_inv,l_margin,5
ok,-0.03627845777076154,0.019845729023349377,-1.8280234365831727,0.06755349902037255,0.0002743756484187676,0.08952153246507216,52733,2851,rsz_trend,FERC636_1992,pre_energy_any,rel_inv,l_margin,7
ok,-0.06262697626125202,0.02297900284626273,-2.725400082860322,0.006428162253535152,0.001169431553132489,0.14972752160655176,26256,1992,rsz_trend,FERC636_1992,pre_gas_any,rel_inv,l_margin,3
ok,-0.05988342428487921,0.024712720237763483,-2.4231822198744193,0.015390979586793696,0.00590012553549459,1.1794145954111985,39933,2399,rsz_trend,FERC636_1992,pre_gas_any,rel_inv,l_margin,5
ok,-0.055934552691224736,0.023107097479316125,-2.4206654574982203,0.01549656195380722,0.005537653170912558,1.5099113985323438,52733,2851,rsz_trend,FERC636_1992,pre_gas_any,rel_inv,l_margin,7
ok,-0.007658057305507407,0.01781570926472365,-0.42984857867381665,0.6673099731220877,-0.0075977584799661385,-1.4394106355555054,35309,3363,rsz_trend,GAS_SPIKE_2001,energy_segment,rel_inv,l_margin,3
ok,-0.012481915475954968,0.015902610626098657,-0.7848972580307163,0.432519188479493,-0.005052569543523447,-1.7781545284121432,51572,3835,rsz_trend,GAS_SPIKE_2001,energy_segment,rel_inv,l_margin,5
ok,-0.023792492678377093,0.016297698942855158,-1.4598682158629284,0.14433298990388455,0.00039304341722579014,0.19458809165036783,66320,4163,rsz_trend,GAS_SPIKE_2001,energy_segment,rel_inv,l_margin,7
