status,k,beta,se,t,p,nobs,firms,treated_firms,control_firms,shock,treatment,opp,span,sample,check
ok,-5,0.05068443819927777,0.023095291890680197,2.1945788102262878,0.02820240498868687,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,-4,0.04068973038569962,0.023148972120645983,1.7577337850525758,0.07880427256805733,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,-3,0.020007432929322645,0.025306338014310495,0.7906095665840167,0.4291788836060313,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,-2,-0.03752215017870138,0.045152532692684655,-0.8310087594439746,0.40597611090888996,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,0,-0.006030611807517107,0.04480749548139399,-0.13458935257877286,0.8929375747390509,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,1,0.08457721573113285,0.04065606005281891,2.080310183063807,0.03750660260090588,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,2,0.03328416798099839,0.03594259350108841,0.9260369032632685,0.3544351710692173,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,3,0.006226185597477916,0.07986275861155528,0.07796106352601065,0.9378596095962592,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,4,0.06053586291798915,0.042986301368175425,1.4082593987210634,0.15906591515972845,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,5,5.431588200297266e-05,0.04362766121668761,0.0012449872509369536,0.9990066534503543,37338,2348,157,2191,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,pre_multiseg,event_study
ok,-5,-0.0031039125750525467,0.020512455138680722,-0.15131843331612901,0.879725488573206,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,-4,-0.01783350547953545,0.02191284505873423,-0.8138379763894329,0.41574386801155283,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,-3,-0.020025318899997636,0.019090870973290746,-1.048947370081451,0.2942103111643892,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,-2,-0.006371975458378711,0.0209917010924486,-0.3035473604695581,0.7614747456835771,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,0,0.01576472567760419,0.020555133763660666,0.7669483380095818,0.44311792414913476,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,1,-0.0008815653787884763,0.019173966160457287,-0.04597720531115465,0.9633287068312169,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,2,0.013305742743006709,0.021080476947575394,0.6311879364065854,0.5279221839917321,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,3,0.005695954249813793,0.024864849075500482,0.229076566381658,0.8188108792292899,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,4,0.007918401763341184,0.022261806199719934,0.35569448823253175,0.7220717318144314,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
ok,5,-0.008956021286560511,0.02220462623216032,-0.403340330655463,0.6867005871239082,42126,2623,458,2165,NATGAS_1990,pre_energy_any,sgrow,5,pre_multiseg,event_study
