status,k,beta,se,t,p,nobs,firms,shock,treatment,outcome,span,check
ok,-5,-0.020778861753768304,0.0037408979065203223,-5.554511850631127,2.794167786035473e-08,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,-4,-0.0065308351657333685,0.0036028109010167826,-1.8127055083269126,0.0698816195869989,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,-3,-0.00035077215632688466,0.0029567013323372085,-0.11863631692877374,0.9055638388172751,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,-2,0.0028903305209254633,0.0023386537197167055,1.235895035061277,0.2165018107664316,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,0,-0.0036594334692503314,0.002040431414139484,-1.7934606592957367,0.07290369461301238,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,1,-0.006996795244050094,0.0026174119740069385,-2.6731730860613636,0.0075155230821850605,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,2,-0.005787483505434996,0.002947935063755392,-1.963233036097575,0.0496231323220333,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,3,-0.008674570521792695,0.003349975799321682,-2.5894427427055327,0.009615169158359027,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,4,-0.012085701541426701,0.004053919637215854,-2.9812385599550026,0.0028718568794146027,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,5,-0.010778014366237307,0.004093375989238676,-2.6330379604933145,0.008464383826417121,82639,13954,NATGAS_1990,pre_energy_share_z,hhi,5,event_study
ok,-5,0.12955307547697006,0.023795469933808624,5.4444428219886065,5.212233311624459e-08,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,-4,0.12456695547807214,0.023109863432438916,5.390207339054183,7.057774720209409e-08,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,-3,0.10269865745350991,0.017327739551307824,5.926835242959238,3.1010651824203705e-09,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,-2,0.03745750842800338,0.01245971828169718,3.006288551726482,0.002645411018813437,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,0,0.0004999683051796654,0.011609506310682392,0.04306542343834412,0.9656494908153967,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,1,0.008104408993469167,0.013887581478550284,0.5835723812664306,0.5595097148507198,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,2,0.00014996045776770605,0.017511666259792932,0.008563460240903384,0.9931674524508896,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,3,-0.013336650309520425,0.019236960032205815,-0.6932826333886796,0.4881342406698539,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,4,-0.03435007479397409,0.019350235114016175,-1.7751760943252266,0.0758726707651689,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,5,-0.030685926449577135,0.020921668455423367,-1.466705512275846,0.1424601692057612,94062,15159,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,event_study
ok,-5,0.00937881310395928,0.0032666704407880768,2.8710619188437825,0.0040921222573822025,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,-4,0.012976180982977245,0.0029885821269152522,4.341918820337378,1.4143237144548237e-05,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,-3,0.01286862621001307,0.002335284742579111,5.510516972675818,3.589782271440356e-08,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,-2,0.006734831103845333,0.0018686033434484374,3.604205851101847,0.00031331564333436646,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,0,0.004379101869920384,0.0019769022946285607,2.215133181755536,0.026753978825720948,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
ok,1,0.002705125720201297,0.0024505156088884686,1.1039006282552581,0.26963986083570934,87708,14198,FERC636_1992,pre_energy_share_z,hhi,5,event_study
