status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,dropped_k,span,check
ok,-0.010833995506864286,0.00185553473038152,-5.838745742385909,5.291369342685925e-09,57454,6539,1.0077534392408858,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,-5,5,leave_one_relative_year
ok,-0.01070749421124583,0.0018380175569755325,-5.8255668835204535,5.7265063801992255e-09,56804,6538,1.0078220611201658,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,-4,5,leave_one_relative_year
ok,-0.010653867385742826,0.0018285186670115256,-5.826501844334561,5.6949036597586655e-09,56299,6538,1.0078220611201658,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,-3,5,leave_one_relative_year
ok,-0.011349733192465466,0.0018898161602022992,-6.005734013434678,1.917960235076066e-09,55904,6532,1.008234081019784,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,-2,5,leave_one_relative_year
ok,-0.012562095697025426,0.0021350147026629805,-5.8838450533183035,4.035277889613553e-09,53584,6145,1.0118155624976974,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,-1,5,leave_one_relative_year
ok,-0.011982382886122517,0.0020181273354564354,-5.937377030479837,2.9161322245840893e-09,53927,6145,1.0032203529622379,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,0,5,leave_one_relative_year
ok,-0.011111384180121493,0.0019088631001398162,-5.820943460695338,5.8877309694338464e-09,55923,6536,1.0079593460928813,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,1,5,leave_one_relative_year
ok,-0.011669811181135557,0.0018880535169579803,-6.180868855845718,6.4243610431447e-10,56255,6538,1.0078220611201658,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,2,5,leave_one_relative_year
ok,-0.011423892721428176,0.0018506397875777984,-6.1729423511315975,6.754414805243414e-10,56561,6538,1.0078220611201658,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,3,5,leave_one_relative_year
ok,-0.010676122655303112,0.001824807108397022,-5.850548590136419,4.929795238695078e-09,56860,6539,1.0077534392408858,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,4,5,leave_one_relative_year
ok,-0.010719078218046702,0.0018655900668067338,-5.745677149961556,9.207731022087273e-09,57177,6537,1.0078906967360122,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,5,5,leave_one_relative_year
