shock,treatment,opp,event_study_pre_p_lt_10,event_study_pre_max_abs_t,event_study_post_median_beta,event_study_post_sign_consistency,placebo_p_lt_10,placebo_min_p,loo_p_lt_05,loo_min_abs_t,loo_sign_consistency,drilldown_pass
FERC636_1992,pre_energy_any,l_margin,1,1.914577918815541,-0.019440701426079947,0.8333333333333334,0,0.5648178934489025,8,1.2008086776302376,1.0,False
FERC636_1992,pre_gas_any,l_margin,1,1.7417513929717712,-0.026754812614980247,0.8333333333333334,0,0.12009536648735475,10,0.5136471858011739,1.0,False
GAS_SPIKE_2001,energy_segment,l_margin,0,0.4875213458901623,-0.01870793608893481,0.8333333333333334,1,0.032445883568700706,9,1.2905993029920224,1.0,False
NATGAS_1990,pre_energy_any,sgrow,0,1.048947370081451,0.006807178006577489,0.6666666666666666,1,0.0083276386825748,5,1.4818752110811537,1.0,False
SO2_ALLOWANCE_1995,pre_electric_any,l_margin,2,2.1945788102262878,0.019755176789238153,0.8333333333333334,2,0.0072753401277259044,5,1.4766225770741437,1.0,False
